city,year,pop,country
Paris,2001,2.148,France
Paris,2008,2.211,France
Paris,2009,2.234,France
Paris,2012,2.244,France
London,2001,7.322,UK
London,2006,7.657,UK
London,2011,8.174,UK
London,2015,8.615,UK
Rome,2001,2.547,Italy
Rome,2006,2.627,Italy
Rome,2009,2.734,Italy
Rome,2012,2.627,Italy
Bristol,2000,0.541,UK
Bristol,2005,0.578,UK
Bristol,2011,0.619,UK
Bristol,2015,0.648,UK
Birmingham,2001,2.285,UK
Birmingham,2006,2.368,UK
Birmingham,2010,2.428,UK
Birmingham,2015,2.515,UK
Lyon,2000,1.445,France
Lyon,2005,1.509,France
Lyon,2010,1.576,France
Lyon,2015,1.646,France
